"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Главная страница — сотрудник отображается в таблице","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","6","GET /edit/<id> — несуществующий ID → редирект","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","22","Фильтрация: /?q=Иван","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","12","Миграция должностей из существующих сотрудников","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","9","POST /positions/create — создаёт должность и редиректит","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","18","POST /edit/<id> — невалидные данные: Обязательное","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","9","Невалидный sort — fallback на full_name","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","17","POST /create — валидные данные → редирект и запись в БД","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","15","GET /positions?edit=<id> — форма предзаполнена","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","15","Фильтрация по отделу","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","18","POST /delete/<id> — существующий сотрудник удаляется","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","10","Удаление отдела","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","10","Обновление отдела","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","11","Создание записи и получение по ID","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","8","get_departments читает из таблицы departments","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","14","Поиск по полю 'Разработчик'","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","14","POST /departments/<id>/delete — удаляет и редиректит","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","21","GET /edit предзаполняет select должности","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","19","POST /edit/<id> — невалидные данные: почт","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","9","Создание отдела и получение всех","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","7","POST /delete/<id> — несуществующий ID → редирект без ошибки","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","10","POST /create — невалидные данные: телефон","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","14","POST /positions/<id>/edit — обновляет и редиректит","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","14","POST /departments/<id>/edit — обновляет и редиректит","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","12","GET /create содержит должности из справочника","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","11","Удаление должности","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_database","",""
"","19","GET /edit/<id> — форма заполнена данными сотрудника","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","8","Получение уникальных отделов в алфавитном порядке","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","28","POST /edit/<id> — валидные данные → обновление и редирект","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","28","Повторное создание сотрудника с тем же email невозможно","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","25","GET /create — форма открывается","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","19","POST /edit/<id> — невалидные данные: телефон","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","38","Главная страница — пустой список","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","9","POST /create — невалидные данные: Обязательное","tests","Sat Feb 28 16:37:13 UTC 2026","passed","Sat Feb 28 16:37:13 UTC 2026","","test_routes","",""
"","17","POST /departments/create — дубликат → flash-ошибка","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","15","Сортировка по full_name, порядок: desc","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","9","POST /departments/create — создаёт отдел и редиректит","tests","Sat Feb 28 16:37:15 UTC 2026","passed","Sat Feb 28 16:37:15 UTC 2026","","test_routes","",""
"","8","Получение должности по ID","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","18","POST /positions/create — дубликат → flash-ошибка","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","7","POST /positions/create — пустое имя → flash-ошибка","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
"","14","Получение всех записей без фильтров","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","15","Сортировка по full_name, порядок: asc","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","11","Удаление записи","tests","Sat Feb 28 16:37:12 UTC 2026","passed","Sat Feb 28 16:37:12 UTC 2026","","test_database","",""
"","9","POST /create — невалидные данные: почт","tests","Sat Feb 28 16:37:14 UTC 2026","passed","Sat Feb 28 16:37:14 UTC 2026","","test_routes","",""
