"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","База данных","3","0","CRUD","0"
"0","","0","HTTP-маршруты","7","0","Справочник должностей","0"
"0","","0","База данных","5","0","Справочник отделов","0"
"0","","0","UI","3","0","Создание сотрудника","0"
"0","","0","HTTP-маршруты","6","0","Редактирование сотрудника","0"
"0","","0","HTTP-маршруты","5","0","Создание сотрудника","0"
"0","","0","HTTP-маршруты","5","0","Справочник отделов","0"
"0","","0","UI","3","0","Справочник должностей","0"
"0","","0","UI","1","0","Удаление сотрудника","0"
"0","","0","HTTP-маршруты","2","0","Удаление сотрудника","0"
"0","","0","База данных","1","0","Справочники","0"
"0","","0","UI","2","0","Справочник отделов","0"
"0","","0","UI","2","0","Редактирование сотрудника","0"
"0","","0","HTTP-маршруты","4","0","Список сотрудников","0"
"0","","0","UI","2","0","Главная страница","0"
"0","","0","HTTP-маршруты","2","0","Интеграция","0"
"0","","0","База данных","6","0","Справочник должностей","0"
"0","","0","База данных","3","0","Сортировка","0"
"0","","0","База данных","5","0","Поиск и фильтрация","0"
"0","","0","UI","2","0","Поиск и фильтрация","0"
"0","","0","HTTP-маршруты","1","0","Идемпотентность","0"
"0","","0","UI","1","0","Навигация","0"
